TableName,ColumnName,ColumnOrdinal,DataType,ColumnType,Description,Standard Property,Needs validation
Perf,CounterPath,13,System.String,string,Full path of the counter in the form \\<Computer>\object(instance)\counter.,No,
Perf,CounterValue,8,System.Double,real,Numeric value of the counter.,No,
Perf,InstanceName,4,System.String,string,Name of the event instance. Empty if no instance.,No,
Perf,Max,6,System.Double,real,,No,
Perf,MG,15,System.String,string,ID of the management group for System Center Operations Manager agents. ,No,
Perf,Min,5,System.Double,real,,No,
Perf,ObjectName,2,System.String,string,Name of the performance object.,No,
Perf,SampleCount,7,System.Int32,int,,No,
Perf,StandardDeviation,14,System.Double,real,,No,
Perf,TenantId,0,System.String,string,ID of the workspace that stores this record.,No,
Perf,SourceSystem,12,System.String,string,"Type of agent the event was collected from. Possible values are OpsManager, Linux, and AzureStorage.",Yes,
Perf,Type,16,System.String,string,Name of the table. This will be Perf for all records in this table.,Yes,
ProtectionStatus,_ResourceId,31,System.String,string,,Yes,
ProtectionStatus,TimeGenerated,2,System.DateTime,datetime,Date and time the record was created.,Yes,
ProtectionStatus,AMProductVersion,17,System.String,string,,No,
ProtectionStatus,Computer,20,System.String,string,,No,
ProtectionStatus,ComputerEnvironment,23,System.String,string,,No,
ProtectionStatus,ComputerIP_Hidden,21,System.String,string,,No,
ProtectionStatus,DateCollected,16,System.String,string,,No,
ProtectionStatus,DetectionId,5,System.String,string,,No,
ProtectionStatus,DeviceName,4,System.String,string,,No,
ProtectionStatus,ManagementGroupName,19,System.String,string,,No,
ProtectionStatus,MG,18,System.String,string,Id of the management group for System Center Operations Manager agents. ,No,
ProtectionStatus,ProtectionStatus,11,System.String,string,,No,
ProtectionStatus,ProtectionStatusDetails,12,System.String,string,,No,
ProtectionStatus,ProtectionStatusRank,10,System.Int32,int,,No,
ProtectionStatus,Resource,24,System.String,string,,No,
ProtectionStatus,ResourceGroup,26,System.String,string,,No,
ProtectionStatus,ResourceId,22,System.String,string,,No,
ProtectionStatus,ResourceProvider,27,System.String,string,,No,
ProtectionStatus,ResourceType,28,System.String,string,,No,
ProtectionStatus,ScanDate,15,System.DateTime,datetime,,No,
ProtectionStatus,SignatureVersion,13,System.String,string,,No,
ProtectionStatus,SourceComputerId,3,System.String,string,,No,
ProtectionStatus,SubscriptionId,25,System.String,string,,No,
ProtectionStatus,TenantId,0,System.String,string,ID of the worksapce that stores this record,No,
ProtectionStatus,Threat,6,System.String,string,,No,
ProtectionStatus,ThreatStatus,8,System.String,string,,No,
ProtectionStatus,ThreatStatusDetails,9,System.String,string,,No,
ProtectionStatus,ThreatStatusRank,7,System.Int32,int,,No,
ProtectionStatus,TypeofProtection,14,System.String,string,,No,
ProtectionStatus,VMUUID,29,System.String,string,,No,
ProtectionStatus,SourceSystem,1,System.String,string,,Yes,
ProtectionStatus,Type,30,System.String,string,The name of the table. This will beProtectionStatusfor all records in this table.,Yes,
SecurityAlert,TimeGenerated,1,System.DateTime,datetime,Date and time the record was created.,Yes,
SecurityAlert,AlertName,3,System.String,string,,No,
SecurityAlert,AlertSeverity,4,System.String,string,,No,
SecurityAlert,AlertType,12,System.String,string,,No,
SecurityAlert,AttackIP_CF,28,System.String,string,,No,
SecurityAlert,ConfidenceLevel,13,System.String,string,,No,
SecurityAlert,ConfidenceScore,14,System.Double,real,,No,
SecurityAlert,Description,5,System.String,string,,No,
SecurityAlert,DisplayName,2,System.String,string,,No,
SecurityAlert,EndTime,17,System.DateTime,datetime,,No,
SecurityAlert,Entities,21,System.String,string,,No,
SecurityAlert,ExtendedLinks,25,System.String,string,,No,
SecurityAlert,ExtendedProperties,20,System.String,string,,No,
SecurityAlert,IsIncident,15,System.SByte,bool,,No,
SecurityAlert,ProcessingEndTime,18,System.DateTime,datetime,,No,
SecurityAlert,ProductComponentName,27,System.String,string,,No,
SecurityAlert,ProductName,26,System.String,string,,No,
SecurityAlert,ProviderName,6,System.String,string,,No,
SecurityAlert,RemediationSteps,19,System.String,string,,No,
SecurityAlert,ResourceId,10,System.String,string,,No,
SecurityAlert,SourceComputerId,11,System.String,string,,No,
SecurityAlert,StartTime,16,System.DateTime,datetime,,No,
SecurityAlert,SystemAlertId,9,System.String,string,,No,
SecurityAlert,TenantId,0,System.String,string,ID of the workspace that stores this record,No,
SecurityAlert,VendorName,7,System.String,string,,No,
SecurityAlert,VendorOriginalId,8,System.String,string,,No,
SecurityAlert,WorkspaceResourceGroup,24,System.String,string,,No,
SecurityAlert,WorkspaceSubscriptionId,23,System.String,string,,No,
SecurityAlert,SourceSystem,22,System.String,string,,Yes,
SecurityAlert,Type,29,System.String,string,Name of the table. This will be SecurityAlert for all records in this table.,Yes,
SecurityBaseline,_ResourceId,32,System.String,string,,Yes,
SecurityBaseline,TimeGenerated,5,System.DateTime,datetime,Date and time the record was created.,Yes,
SecurityBaseline,ActualResult,26,System.String,string,,No,
SecurityBaseline,AnalyzeOperation,30,System.String,string,,No,
SecurityBaseline,AnalyzeResult,27,System.String,string,,No,
SecurityBaseline,AssessmentId,17,System.String,string,,No,
SecurityBaseline,AzId,20,System.String,string,,No,
SecurityBaseline,BaselineId,14,System.String,string,,No,
SecurityBaseline,BaselineRuleId,28,System.String,string,,No,
SecurityBaseline,BaselineRuleType,22,System.String,string,,No,
SecurityBaseline,BaselineType,15,System.String,string,,No,
SecurityBaseline,CceId,19,System.String,string,,No,
SecurityBaseline,Computer,13,System.String,string,,No,
SecurityBaseline,ComputerEnvironment,12,System.String,string,,No,
SecurityBaseline,Description,23,System.String,string,,No,
SecurityBaseline,ExpectedResult,25,System.String,string,,No,
SecurityBaseline,ManagementGroupName,3,System.String,string,,No,
SecurityBaseline,MG,2,System.String,string,Id of the management group for System Center Operations Manager agents. ,No,
SecurityBaseline,OSName,16,System.String,string,,No,
SecurityBaseline,Resource,9,System.String,string,,No,
SecurityBaseline,ResourceGroup,7,System.String,string,,No,
SecurityBaseline,ResourceId,10,System.String,string,,No,
SecurityBaseline,ResourceProvider,8,System.String,string,,No,
SecurityBaseline,ResourceType,11,System.String,string,,No,
SecurityBaseline,RuleSetting,24,System.String,string,,No,
SecurityBaseline,RuleSeverity,21,System.String,string,,No,
SecurityBaseline,SitePath,29,System.String,string,,No,
SecurityBaseline,SourceComputerId,4,System.String,string,,No,
SecurityBaseline,SubscriptionId,6,System.String,string,,No,
SecurityBaseline,TenantId,0,System.String,string,ID of the worksapce that stores this record,No,
SecurityBaseline,TimeAnalyzed,18,System.DateTime,datetime,,No,
SecurityBaseline,SourceSystem,1,System.String,string,,Yes,
SecurityBaseline,Type,31,System.String,string,The name of the table. This will beSecurityBaselinefor all records in this table.,Yes,
SecurityBaselineSummary,_ResourceId,24,System.String,string,,Yes,
SecurityBaselineSummary,TimeGenerated,5,System.DateTime,datetime,Date and time the record was created.,Yes,
SecurityBaselineSummary,AssessmentId,17,System.String,string,,No,
SecurityBaselineSummary,BaselineId,14,System.String,string,,No,
SecurityBaselineSummary,BaselineType,15,System.String,string,,No,
SecurityBaselineSummary,Computer,13,System.String,string,,No,
SecurityBaselineSummary,ComputerEnvironment,12,System.String,string,,No,
SecurityBaselineSummary,CriticalFailedRules,20,System.Int32,int,,No,
SecurityBaselineSummary,InformationalFailedRules,22,System.Int32,int,,No,
SecurityBaselineSummary,ManagementGroupName,3,System.String,string,,No,
SecurityBaselineSummary,MG,2,System.String,string,Id of the management group for System Center Operations Manager agents. ,No,
SecurityBaselineSummary,OSName,16,System.String,string,,No,
SecurityBaselineSummary,PercentageOfPassedRules,19,System.Int32,int,,No,
SecurityBaselineSummary,Resource,9,System.String,string,,No,
SecurityBaselineSummary,ResourceGroup,7,System.String,string,,No,
SecurityBaselineSummary,ResourceId,10,System.String,string,,No,
SecurityBaselineSummary,ResourceProvider,8,System.String,string,,No,
SecurityBaselineSummary,ResourceType,11,System.String,string,,No,
SecurityBaselineSummary,SourceComputerId,4,System.String,string,,No,
SecurityBaselineSummary,SubscriptionId,6,System.String,string,,No,
SecurityBaselineSummary,TenantId,0,System.String,string,ID of the worksapce that stores this record,No,
SecurityBaselineSummary,TotalAssessedRules,18,System.Int32,int,,No,
SecurityBaselineSummary,WarningFailedRules,21,System.Int32,int,,No,
SecurityBaselineSummary,SourceSystem,1,System.String,string,,Yes,
SecurityBaselineSummary,Type,23,System.String,string,The name of the table. This will beSecurityBaselineSummaryfor all records in this table.,Yes,
SecurityDetection,_ResourceId,35,System.String,string,,Yes,
SecurityDetection,TimeGenerated,2,System.DateTime,datetime,Date and time the record was created.,Yes,
SecurityDetection,AccountsSeen,22,System.Int32,int,,No,
SecurityDetection,AlertSeverity,7,System.String,string,,No,
SecurityDetection,AlertTitle,5,System.String,string,,No,
SecurityDetection,AlertType,6,System.String,string,,No,
SecurityDetection,AssociatedResource,33,System.String,string,,No,
SecurityDetection,ChildProcess,25,System.String,string,,No,
